0,zero,0,2
1,one,1,1
2,two,2,1
3,three,3,1
4,four,4,1
5,five,5,1
6,six,6,1
7,seven,7,2
8,eight,8,1
9,nine,9,1
10,ten,10,1
11,ten plus one,10 + 1,3
12,twelve,12,1
13,thirteen,13,2
14,fourteen,14,2
15,fifteen,15,2
16,four squared,4 ²,2
17,twelve plus five,12 + 5,3
18,eighteen,18,2
19,nineteen,19,2
20,twenty,20,2
21,twelve plus nine,12 + 9,3
22,twelve plus ten,12 + 10,3
23,twenty-three,23,3
24,six cubed ninths,6 ³ / 9,3
25,five squared,5 ²,2
26,twenty-six,26,3
27,three cubed,3 ³,2
28,twenty-eight,28,3
29,twenty-nine,29,3
30,thirty,30,2
31,thirty-one,31,3
32,four cubed halves,4 ³ / 2,3
33,thirty-three,33,3
34,thirty-four,34,3
35,thirty-five,35,3
36,six squared,6 ²,2
37,six squared plus one,6 ² + 1,4
38,thirty-eight,38,3
39,thirty-nine,39,3
40,forty,40,2
41,forty-one,41,3
42,forty-two,42,3
43,forty-three,43,3
44,forty-four,44,3
45,ninety halves,90 / 2,3
46,forty-six,46,3
47,ninety-four halves,94 / 2,4
48,twelve squared thirds,12 ² / 3,3
49,seven squared,7 ²,3
50,fifty,50,2
51,fifty-one,51,3
52,fifty-two,52,3
53,fifty-three,53,3
54,six cubed fourths,6 ³ / 4,3
55,fifty-five,55,3
56,fifty-six,56,3
57,three times nineteen,3 * 19,4
58,fifty-eight,58,3
59,fifty-nine,59,3
60,sixty,60,2
61,sixty-one,61,3
62,sixty-two,62,3
63,sixty-three,63,3
64,four cubed,4 ³,2
65,sixty-five,65,3
66,sixty-six,66,3
67,four cubed plus three,4 ³ + 3,4
68,sixty-eight,68,3
69,sixty-nine,69,3
70,seventy,70,3
71,seventy-one,71,4
72,six cubed thirds,6 ³ / 3,3
73,four cubed plus nine,4 ³ + 9,4
74,four cubed plus ten,4 ³ + 10,4
75,thirty squared twelfths,30 ² / 12,4
76,four times nineteen,4 * 19,4
77,three hundred eight fourths,308 / 4,5
78,six times thirteen,6 * 13,4
79,seventy-nine,79,4
80,eighty,80,2
81,nine squared,9 ²,2
82,eighty-two,82,3
83,eighty-three,83,3
84,eighty-four,84,3
85,eighty-five,85,3
86,eighty-six,86,3
87,nine squared plus six,9 ² + 6,4
88,eighty-eight,88,3
89,eighty-nine,89,3
90,ninety,90,2
91,ninety-one,91,3
92,ninety-two,92,3
93,ninety-three,93,3
