0,零,0,1
1,一,1,1
2,二,2,1
3,三,3,1
4,四,4,1
5,五,5,1
6,六,6,1
7,七,7,1
8,八,8,1
9,九,9,1
10,十,10,1
11,十一,11,2
12,十二,12,2
13,十三,13,2
14,十四,14,2
15,十五,15,2
16,十六,16,2
17,十七,17,2
18,十八,18,2
19,十九,19,2
20,二十,20,2
21,三乘七,3 * 7,3
22,二十二,22,3
23,二十三,23,3
24,四乘六,4 * 6,3
25,五平方,5 ²,3
26,二十六,26,3
27,三立方,3 ³,3
28,四乘七,4 * 7,3
29,二十九,29,3
30,三十,30,2
31,三十一,31,3
32,四乘八,4 * 8,3
33,三十三,33,3
34,三十四,34,3
35,半分之七十,70 / 2,3
36,六平方,6 ²,3
37,三十七,37,3
38,三十八,38,3
39,三十九,39,3
40,四十,40,2
41,四十一,41,3
42,六乘七,6 * 7,3
43,四十三,43,3
44,四十四,44,3
45,半分之九十,90 / 2,3
46,四十六,46,3
47,四十七,47,3
48,六乘八,6 * 8,3
49,七平方,7 ²,3
50,五十,50,2
51,五十一,51,3
52,五十二,52,3
53,五十三,53,3
54,六乘九,6 * 9,3
55,五十五,55,3
56,七乘八,7 * 8,3
57,五十七,57,3
58,五十八,58,3
59,五十九,59,3
60,六十,60,2
61,六十一,61,3
62,六十二,62,3
63,七乘九,7 * 9,3
64,四立方,4 ³,3
65,六十五,65,3
66,六十六,66,3
67,六十七,67,3
68,六十八,68,3
69,六十九,69,3
70,七十,70,2
71,七十一,71,3
72,八乘九,8 * 9,3
73,七十三,73,3
74,七十四,74,3
75,七十五,75,3
76,七十六,76,3
77,七十七,77,3
78,七十八,78,3
79,七十九,79,3
80,八十,80,2
81,九平方,9 ²,3
82,八十二,82,3
83,八十三,83,3
84,八十四,84,3
85,八十五,85,3
86,八十六,86,3
87,八十七,87,3
88,八十八,88,3
89,八十九,89,3
90,九十,90,2
91,九十一,91,3
92,九十二,92,3
93,九十三,93,3
94,九十四,94,3
95,九十五,95,3
96,九十六,96,3
97,九十七,97,3
98,九十八,98,3
99,九十九,99,3
100,一百,100,2
101,一百加一,100 + 1,4
102,六乘十七,6 * 17,4
103,一百加三,100 + 3,4
104,八乘十三,8 * 13,4
105,半分之二百十,210 / 2,4
106,一百加六,100 + 6,4
107,一百加七,100 + 7,4
108,半分之六立方,6 ³ / 2,4
109,一百加九,100 + 9,4
110,一百十,110,3
111,一百十一,111,4
112,八乘十四,8 * 14,4
113,一百十三,113,4
114,六乘十九,6 * 19,4
115,一百十五,115,4
116,一百十六,116,4
117,九乘十三,9 * 13,4
118,一百十八,118,4
119,七乘十七,7 * 17,4
120,十乘十二,10 * 12,4
121,十一平方,11 ²,4
122,五立方减三,5 ³ - 3,5
123,五立方减二,5 ³ - 2,5
124,五立方减一,5 ³ - 1,5
125,五立方,5 ³,3
126,九乘十四,9 * 14,4
127,五立方加二,5 ³ + 2,5
128,八乘十六,8 * 16,4
129,三乘四十三,3 * 43,5
130,十乘十三,10 * 13,4
131,五立方加六,5 ³ + 6,5
132,十一乘十二,11 * 12,5
133,七乘十九,7 * 19,4
134,二乘六十七,2 * 67,5
135,九乘十五,9 * 15,4
136,八乘十七,8 * 17,4
137,一百三十七,137,5
138,六乘二十三,6 * 23,5
139,一百三十九,139,5
140,十乘十四,10 * 14,4
141,半分之三百减九,300 / 2 - 9,5
142,半分之三百减八,300 / 2 - 8,5
143,半分之三百减七,300 / 2 - 7,5
144,十二平方,12 ²,4
145,半分之二百九十,290 / 2,5
146,半分之三百减四,300 / 2 - 4,5
147,半分之三百减三,300 / 2 - 3,5
148,半分之三百减二,300 / 2 - 2,5
149,半分之三百减一,300 / 2 - 1,5
150,半分之三百,300 / 2,3
151,半分之三百零二,302 / 2,5
152,八乘十九,8 * 19,4
153,九乘十七,9 * 17,4
154,半分之三百零八,308 / 2,5
155,半分之三百十,310 / 2,4
156,半分之三百十二,312 / 2,5
157,半分之三百十四,314 / 2,5
158,半分之三百十六,316 / 2,5
159,半分之三百十八,318 / 2,5
160,十乘十六,10 * 16,4
161,七乘二十三,7 * 23,5
162,九乘十八,9 * 18,4
163,一百六十三,163,5
164,四乘四十一,4 * 41,5
165,半分之三百三十,330 / 2,5
166,二乘八十三,2 * 83,5
167,一百六十七,167,5
168,十二乘十四,12 * 14,5
169,十三平方,13 ²,4
170,十乘十七,10 * 17,4
171,九乘十九,9 * 19,4
172,四乘四十三,4 * 43,5
173,一百七十三,173,5
174,六乘二十九,6 * 29,5
175,半分之半分之七百,700 / 2 / 2,4
176,十一乘十六,11 * 16,5
177,三乘五十九,3 * 59,5
178,二乘八十九,2 * 89,5
179,一百七十九,179,5
180,十乘十八,10 * 18,4
181,二百减十九,200 - 19,5
182,二百减十八,200 - 18,5
183,二百减十七,200 - 17,5
184,二百减十六,200 - 16,5
185,半分之三百七十,370 / 2,5
186,二百减十四,200 - 14,5
187,二百减十三,200 - 13,5
188,二百减十二,200 - 12,5
189,二百减十一,200 - 11,5
190,二百减十,200 - 10,4
191,二百减九,200 - 9,4
192,二百减八,200 - 8,4
193,二百减七,200 - 7,4
194,二百减六,200 - 6,4
195,二百减五,200 - 5,4
196,十四平方,14 ²,4
197,二百减三,200 - 3,4
198,二百减二,200 - 2,4
199,二百减一,200 - 1,4
200,二百,200,2
201,二百加一,200 + 1,4
202,二百加二,200 + 2,4
203,二百加三,200 + 3,4
204,二百加四,200 + 4,4
205,半分之四百十,410 / 2,4
206,二百加六,200 + 6,4
207,二百加七,200 + 7,4
208,二百加八,200 + 8,4
209,二百加九,200 + 9,4
210,二百十,210,3
211,二百十一,211,4
212,二百十二,212,4
213,二百十三,213,4
214,二百十四,214,4
215,二百十五,215,4
216,六立方,6 ³,3
217,二百十七,217,4
218,二百十八,218,4
219,二百十九,219,4
220,二百二十,220,4
221,十三乘十七,13 * 17,5
222,六乘三十七,6 * 37,5
223,六立方加七,6 ³ + 7,5
224,十四乘十六,14 * 16,5
225,十五平方,15 ²,4
226,六立方加十,6 ³ + 10,5
227,二百二十七,227,5
228,十二乘十九,12 * 19,5
229,二百二十九,229,5
230,二百三十,230,4
231,七乘三十三,7 * 33,5
232,八乘二十九,8 * 29,5
233,二百三十三,233,5
234,十三乘十八,13 * 18,5
235,半分之四百七十,470 / 2,5
236,四乘五十九,4 * 59,5
237,三乘七十九,3 * 79,5
238,十四乘十七,14 * 17,5
239,二百三十九,239,5
240,八乘三十,8 * 30,4
241,半分之五百减九,500 / 2 - 9,5
242,半分之五百减八,500 / 2 - 8,5
243,半分之五百减七,500 / 2 - 7,5
244,半分之五百减六,500 / 2 - 6,5
245,半分之四百九十,490 / 2,5
246,半分之五百减四,500 / 2 - 4,5
247,半分之五百减三,500 / 2 - 3,5
248,半分之五百减二,500 / 2 - 2,5
249,半分之五百减一,500 / 2 - 1,5
250,半分之五百,500 / 2,3
251,半分之五百零二,502 / 2,5
252,半分之五百零四,504 / 2,5
253,半分之五百零六,506 / 2,5
254,半分之五百零八,508 / 2,5
255,半分之五百十,510 / 2,4
256,十六平方,16 ²,4
257,半分之五百十四,514 / 2,5
258,半分之五百十六,516 / 2,5
259,半分之五百十八,518 / 2,5
260,二百六十,260,4
261,九乘二十九,9 * 29,5
262,二百六十二,262,5
263,二百六十三,263,5
264,八乘三十三,8 * 33,5
265,半分之五百三十,530 / 2,5
266,十四乘十九,14 * 19,5
267,三乘八十九,3 * 89,5
268,四乘六十七,4 * 67,5
269,二百六十九,269,5
270,九乘三十,9 * 30,4
271,二百七十一,271,5
272,十六乘十七,16 * 17,5
273,七乘三十九,7 * 39,5
274,二百七十四,274,5
275,半分之五百五十,550 / 2,5
276,六乘四十六,6 * 46,5
277,二百七十七,277,5
278,二百七十八,278,5
279,九乘三十一,9 * 31,5
280,七乘四十,7 * 40,4
281,三百减十九,300 - 19,5
282,三百减十八,300 - 18,5
283,三百减十七,300 - 17,5
284,三百减十六,300 - 16,5
285,半分之五百七十,570 / 2,5
286,三百减十四,300 - 14,5
287,三百减十三,300 - 13,5
288,三百减十二,300 - 12,5
289,十七平方,17 ²,4
290,三百减十,300 - 10,4
291,三百减九,300 - 9,4
292,三百减八,300 - 8,4
293,三百减七,300 - 7,4
294,三百减六,300 - 6,4
295,三百减五,300 - 5,4
296,三百减四,300 - 4,4
297,三百减三,300 - 3,4
298,三百减二,300 - 2,4
299,三百减一,300 - 1,4
300,三百,300,2
301,三百加一,300 + 1,4
302,三百加二,300 + 2,4
303,三百加三,300 + 3,4
304,三百加四,300 + 4,4
305,半分之六百十,610 / 2,4
306,三百加六,300 + 6,4
307,三百加七,300 + 7,4
308,三百加八,300 + 8,4
309,三百加九,300 + 9,4
310,三百十,310,3
311,三百十一,311,4
312,三百十二,312,4
313,三百十三,313,4
314,三百十四,314,4
